Site Name;Date;Measured (kWh);Expected (kWh);Performance;PF Band
Mdluli;Mar-24;;17314,2;;
Mdluli;Apr-24;6916;15358,5;45,0%;Poor
Mdluli;May-24;14281;15197,4;94,0%;Expected
Mdluli;Jun-24;12149;14489,1;83,8%;Moderate
Mdluli;Jul-24;15601;15390,9;101,4%;Expected
Mdluli;Aug-24;7706;15613,2;49,4%;Poor
Mdluli;Sept-24;1;15191,1;0,0%;Poor
Mdluli;Oct-24;7310;14349,6;50,9%;Poor
Mdluli;Nov-24;13770;13257,9;103,9%;Expected
Mdluli;Dec-24;;13839,3;;
Mdluli;Jan-25;4700;15870,6;29,6%;Poor
Mdluli;Feb-25;12300;14825,7;83,0%;Moderate
Mdluli;Mar-25;13554;17314,2;78,3%;Moderate
Mdluli;Apr-25;9839;15358,5;64,1%;Poor
Mdluli;May-25;;15197,4;;
Mdluli;Jun-25;12605,8;14489,1;87,0%;Moderate
Mdluli;Jul-25;8064;15390,9;52,4%;Poor
Mdluli;Aug-25;13494;15613,2;86,4%;Moderate
Mdluli;Sept-25;11744,7;15191,1;77,3%;Moderate
Mdluli;Oct-25;13202;14349,6;92,0%;Expected
Mdluli;Nov-25;10765;13257,9;81,2%;Moderate
Mdluli;Dec-25;13231;13839,3;95,6%;Expected
Mdluli;Jan-26;11720,01;15870,6;73,8%;Moderate
Mdluli;Feb-26;15533;14825,7;104,8%;Expected
Mdluli;Mar-26;12559;17314,2;72,5%;Moderate
Mdluli;Apr-26;11577,01;15358,5;75,4%;Moderate
Mdluli;May-26;13966,89;15197,4;91,9%;Expected
Mdluli;Jun-26;11309,7;14489,1;78,1%;Moderate
Mdluli;Jul-26;;15390,9;;
Mdluli;Aug-26;;15613,2;;
Mdluli;Sept-26;;15191,1;;
Mdluli;Oct-26;;14349,6;;
Mdluli;Nov-26;;13257,9;;
Mdluli;Dec-26;;13839,3;;
Medipost;Jan-24;;53361,9;;
Medipost;Feb-24;;43750,8;;
Medipost;Mar-24;;40931,1;;
Medipost;Apr-24;;29080,8;;
Medipost;May-24;;21434,4;;
Medipost;Jun-24;;17483,4;;
Medipost;Jul-24;;19783,8;;
Medipost;Aug-24;;25524;;
Medipost;Sept-24;;33381,9;;
Medipost;Oct-24;;43038;;
Medipost;Nov-24;;49565,7;;
Medipost;Dec-24;;54135,9;;
Medipost;Jan-25;;53361,9;;
Medipost;Feb-25;;43750,8;;
Medipost;Mar-25;;40931,1;;
Medipost;Apr-25;;29080,8;;
Medipost;May-25;;21434,4;;
Medipost;Jun-25;;17483,4;;
Medipost;Jul-25;;19783,8;;
Medipost;Aug-25;;25524;;
Medipost;Sept-25;;33381,9;;
Medipost;Oct-25;;43038;;
Medipost;Nov-25;;49565,7;;
Medipost;Dec-25;44400;54135,9;82,0%;Moderate
Medipost;Jan-26;44972,3;53361,9;84,3%;Moderate
Medipost;Feb-26;44384;43750,8;101,4%;Expected
Medipost;Mar-26;42181;40931,1;103,1%;Expected
Medipost;Apr-26;29438,84;29080,8;101,2%;Expected
Medipost;May-26;20478,6;21434,4;95,5%;Expected
Medipost;Jun-26;;17483,4;;
Medipost;Jul-26;;19783,8;;
Medipost;Aug-26;;25524;;
Medipost;Sept-26;;33381,9;;
Medipost;Oct-26;;43038;;
Medipost;Nov-26;;49565,7;;
Medipost;Dec-26;;54135,9;;
Meredale Heights ;Jan-24;3824;5063,45;75,5%;Moderate
Meredale Heights ;Feb-24;3746;4598,5;81,5%;Moderate
Meredale Heights ;Mar-24;3799;5071,95;74,9%;Moderate
Meredale Heights ;Apr-24;3854;4864,55;79,2%;Moderate
Meredale Heights ;May-24;4391;5173,1;84,9%;Moderate
Meredale Heights ;Jun-24;4167;5002,25;83,3%;Moderate
Meredale Heights ;Jul-24;4515;5383,9;83,9%;Moderate
Meredale Heights ;Aug-24;4113;5638,05;73,0%;Moderate
Meredale Heights ;Sept-24;3620;5587,05;64,8%;Poor
Meredale Heights ;Oct-24;4760;5491,85;86,7%;Moderate
Meredale Heights ;Nov-24;3916;5110,2;76,6%;Moderate
Meredale Heights ;Dec-24;4124;5223,25;79,0%;Moderate
Meredale Heights ;Jan-25;3080;5063,45;60,8%;Poor
Meredale Heights ;Feb-25;2400;4598,5;52,2%;Poor
Meredale Heights ;Mar-25;2832;5071,95;55,8%;Poor
Meredale Heights ;Apr-25;2690;4864,55;55,3%;Poor
Meredale Heights ;May-25;3597;5173,1;69,5%;Poor
Meredale Heights ;Jun-25;4831,17;5002,25;96,6%;Expected
Meredale Heights ;Jul-25;5152;5383,9;95,7%;Expected
Meredale Heights ;Aug-25;5913;5638,05;104,9%;Expected
Meredale Heights ;Sept-25;5163;5587,05;92,4%;Expected
Meredale Heights ;Oct-25;5859;5491,85;106,7%;Expected
Meredale Heights ;Nov-25;4665;5110,2;91,3%;Expected
Meredale Heights ;Dec-25;5472;5223,25;104,8%;Expected
Meredale Heights ;Jan-26;5579,67;5063,45;110,2%;Expected
Meredale Heights ;Feb-26;4787;4598,5;104,1%;Expected
Meredale Heights ;Mar-26;4406;5071,95;86,9%;Moderate
Meredale Heights ;Apr-26;4507;4864,55;92,6%;Expected
Meredale Heights ;May-26;5143;5173,1;99,4%;Expected
Meredale Heights ;Jun-26;4820,5;5002,25;96,4%;Expected
Meredale Heights ;Jul-26;;5383,9;;
Meredale Heights ;Aug-26;;5638,05;;
Meredale Heights ;Sept-26;;5587,05;;
Meredale Heights ;Oct-26;;5491,85;;
Meredale Heights ;Nov-26;;5110,2;;
Meredale Heights ;Dec-26;;5223,25;;
Monument Park Checkers;Jan-24;;40416,3;;
Monument Park Checkers;Feb-24;;33988,5;;
Monument Park Checkers;Mar-24;41550,8;35132,4;118,3%;Expected
Monument Park Checkers;Apr-24;25447,6;29903,4;85,1%;Moderate
Monument Park Checkers;May-24;28056;28383,3;98,8%;Expected
Monument Park Checkers;Jun-24;27241;25641,9;106,2%;Expected
Monument Park Checkers;Jul-24;31078;28361,7;109,6%;Expected
Monument Park Checkers;Aug-24;33515;33006,6;101,5%;Expected
Monument Park Checkers;Sept-24;34245;36521,1;93,8%;Expected
Monument Park Checkers;Oct-24;46108;39682,8;116,2%;Expected
Monument Park Checkers;Nov-24;42922;39748,5;108,0%;Expected
Monument Park Checkers;Dec-24;44138;42519,6;103,8%;Expected
Monument Park Checkers;Jan-25;41100;40416,3;101,7%;Expected
Monument Park Checkers;Feb-25;30900;33988,5;90,9%;Expected
Monument Park Checkers;Mar-25;31593;35132,4;89,9%;Moderate
Monument Park Checkers;Apr-25;25646;29903,4;85,8%;Moderate
Monument Park Checkers;May-25;33184;28383,3;116,9%;Expected
Monument Park Checkers;Jun-25;29359,5;25641,9;114,5%;Expected
Monument Park Checkers;Jul-25;23487;28361,7;82,8%;Moderate
Monument Park Checkers;Aug-25;34316;33006,6;104,0%;Expected
Monument Park Checkers;Sept-25;33632,7;36521,1;92,1%;Expected
Monument Park Checkers;Oct-25;41353;39682,8;104,2%;Expected
Monument Park Checkers;Nov-25;44434;39748,5;111,8%;Expected
Monument Park Checkers;Dec-25;40551;42519,6;95,4%;Expected
Monument Park Checkers;Jan-26;42821;40416,3;105,9%;Expected
Monument Park Checkers;Feb-26;39129;33988,5;115,1%;Expected
Monument Park Checkers;Mar-26;31935;35132,4;90,9%;Expected
Monument Park Checkers;Apr-26;26513;29903,4;88,7%;Moderate
Monument Park Checkers;May-26;29984;28383,3;105,6%;Expected
Monument Park Checkers;Jun-26;;25641,9;;
Monument Park Checkers;Jul-26;;28361,7;;
Monument Park Checkers;Aug-26;;33006,6;;
Monument Park Checkers;Sept-26;;36521,1;;
Monument Park Checkers;Oct-26;;39682,8;;
Monument Park Checkers;Nov-26;;39748,5;;
Monument Park Checkers;Dec-26;;42519,6;;
Nkambeni Industrial;Jan-24;;23544;;
Nkambeni Industrial;Feb-24;;21677;;
Nkambeni Industrial;Mar-24;;24212;;
Nkambeni Industrial;Apr-24;;20861;;
Nkambeni Industrial;May-24;;20012;;
Nkambeni Industrial;Jun-24;;18485;;
Nkambeni Industrial;Jul-24;;20016;;
Nkambeni Industrial;Aug-24;;21052;;
Nkambeni Industrial;Sept-24;;21403;;
Nkambeni Industrial;Oct-24;;20962;;
Nkambeni Industrial;Nov-24;;19856;;
Nkambeni Industrial;Dec-24;;21184;;
Nkambeni Industrial;Jan-25;21130;23544;89,7%;Moderate
Nkambeni Industrial;Feb-25;17140;21677;79,1%;Moderate
Nkambeni Industrial;Mar-25;;24212;;
Nkambeni Industrial;Apr-25;;20861;;
Nkambeni Industrial;May-25;;20012;;
Nkambeni Industrial;Jun-25;;18485;;
Nkambeni Industrial;Jul-25;;20016;;
Nkambeni Industrial;Aug-25;;21052;;
Nkambeni Industrial;Sept-25;;21403;;
Nkambeni Industrial;Oct-25;;20962;;
Nkambeni Industrial;Nov-25;;19856;;
Nkambeni Industrial;Dec-25;;21184;;
Nkambeni Industrial;Jan-26;9830;23544;41,8%;Poor
Nkambeni Industrial;Feb-26;20200;21677;93,2%;Expected
Nkambeni Industrial;Mar-26;16198;24212;66,9%;Poor
Nkambeni Industrial;Apr-26;;20861;;
Nkambeni Industrial;May-26;;20012;;
Nkambeni Industrial;Jun-26;;18485;;
Nkambeni Industrial;Jul-26;;20016;;
Nkambeni Industrial;Aug-26;;21052;;
Nkambeni Industrial;Sept-26;;21403;;
Nkambeni Industrial;Oct-26;;20962;;
Nkambeni Industrial;Nov-26;;19856;;
Nkambeni Industrial;Dec-26;;21184;;
Olievenhoutbosch 1;Jan-24;;46872;;
Olievenhoutbosch 1;Feb-24;;40989,6;;
Olievenhoutbosch 1;Mar-24;;39989,7;;
Olievenhoutbosch 1;Apr-24;;34783,2;;
Olievenhoutbosch 1;May-24;;32139;;
Olievenhoutbosch 1;Jun-24;;28357,2;;
Olievenhoutbosch 1;Jul-24;;31229,1;;
Olievenhoutbosch 1;Aug-24;;36815,4;;
Olievenhoutbosch 1;Sept-24;;40778,1;;
Olievenhoutbosch 1;Oct-24;;46212,3;;
Olievenhoutbosch 1;Nov-24;;46653,3;;
Olievenhoutbosch 1;Dec-24;;47656,8;;
Olievenhoutbosch 1;Jan-25;;46872;;
Olievenhoutbosch 1;Feb-25;;40989,6;;
Olievenhoutbosch 1;Mar-25;;39989,7;;
Olievenhoutbosch 1;Apr-25;;34783,2;;
Olievenhoutbosch 1;May-25;;32139;;
Olievenhoutbosch 1;Jun-25;;28357,2;;
Olievenhoutbosch 1;Jul-25;;31229,1;;
Olievenhoutbosch 1;Aug-25;;36815,4;;
Olievenhoutbosch 1;Sept-25;;40778,1;;
Olievenhoutbosch 1;Oct-25;42200;46212,3;91,3%;Expected
Olievenhoutbosch 1;Nov-25;37652;46653,3;80,7%;Moderate
Olievenhoutbosch 1;Dec-25;32569;47656,8;68,3%;Poor
Olievenhoutbosch 1;Jan-26;43979,9977;46872;93,8%;Expected
Olievenhoutbosch 1;Feb-26;35538,4873;40989,6;86,7%;Moderate
Olievenhoutbosch 1;Mar-26;34079;39989,7;85,2%;Moderate
Olievenhoutbosch 1;Apr-26;26385,27;34783,2;75,9%;Moderate
Olievenhoutbosch 1;May-26;29535,2;32139;91,9%;Expected
Olievenhoutbosch 1;Jun-26;18559;28357,2;65,4%;Poor
Olievenhoutbosch 1;Jul-26;;31229,1;;
Olievenhoutbosch 1;Aug-26;;36815,4;;
Olievenhoutbosch 1;Sept-26;;40778,1;;
Olievenhoutbosch 1;Oct-26;;46212,3;;
Olievenhoutbosch 1;Nov-26;;46653,3;;
Olievenhoutbosch 1;Dec-26;;47656,8;;
Olievenhoutbosch 2;Jan-24;;12369,6;;
Olievenhoutbosch 2;Feb-24;;10801,8;;
Olievenhoutbosch 2;Mar-24;;10537,2;;
Olievenhoutbosch 2;Apr-24;;9173,7;;
Olievenhoutbosch 2;May-24;;8503,2;;
Olievenhoutbosch 2;Jun-24;;7545,6;;
Olievenhoutbosch 2;Jul-24;;8307;;
Olievenhoutbosch 2;Aug-24;;9720,9;;
Olievenhoutbosch 2;Sept-24;;10755,9;;
Olievenhoutbosch 2;Oct-24;;12190,5;;
Olievenhoutbosch 2;Nov-24;;12263,4;;
Olievenhoutbosch 2;Dec-24;;12539,7;;
Olievenhoutbosch 2;Jan-25;;12369,6;;
Olievenhoutbosch 2;Feb-25;;10801,8;;
Olievenhoutbosch 2;Mar-25;;10537,2;;
Olievenhoutbosch 2;Apr-25;;9173,7;;
Olievenhoutbosch 2;May-25;;8503,2;;
Olievenhoutbosch 2;Jun-25;;7545,6;;
Olievenhoutbosch 2;Jul-25;;8307;;
Olievenhoutbosch 2;Aug-25;;9720,9;;
Olievenhoutbosch 2;Sept-25;;10755,9;;
Olievenhoutbosch 2;Oct-25;11800;12190,5;96,8%;Expected
Olievenhoutbosch 2;Nov-25;9938;12263,4;81,0%;Moderate
Olievenhoutbosch 2;Dec-25;9094;12539,7;72,5%;Moderate
Olievenhoutbosch 2;Jan-26;11835,67402;12369,6;95,7%;Expected
Olievenhoutbosch 2;Feb-26;9479,82875;10801,8;87,8%;Moderate
Olievenhoutbosch 2;Mar-26;9043;10537,2;85,8%;Moderate
Olievenhoutbosch 2;Apr-26;7039,32;9173,7;76,7%;Moderate
Olievenhoutbosch 2;May-26;8144,81;8503,2;95,8%;Expected
Olievenhoutbosch 2;Jun-26;5600;7545,6;74,2%;Moderate
Olievenhoutbosch 2;Jul-26;;8307;;
Olievenhoutbosch 2;Aug-26;;9720,9;;
Olievenhoutbosch 2;Sept-26;;10755,9;;
Olievenhoutbosch 2;Oct-26;;12190,5;;
Olievenhoutbosch 2;Nov-26;;12263,4;;
Olievenhoutbosch 2;Dec-26;;12539,7;;
Opal Students ;Jan-24;337;5685,3;5,9%;Poor
Opal Students ;Feb-24;4222;4780,8;88,3%;Moderate
Opal Students ;Mar-24;5410;4935,6;109,6%;Expected
Opal Students ;Apr-24;4799;4359,6;110,1%;Expected
Opal Students ;May-24;4368;4194;104,1%;Expected
Opal Students ;Jun-24;3307;3818,7;86,6%;Moderate
Opal Students ;Jul-24;3819;4217,4;90,6%;Expected
Opal Students ;Aug-24;5147;4844,7;106,2%;Expected
Opal Students ;Sept-24;4101;5300,1;77,4%;Moderate
Opal Students ;Oct-24;6591;5667,3;116,3%;Expected
Opal Students ;Nov-24;4960;5624,1;88,2%;Moderate
Opal Students ;Dec-24;652;5995,8;10,9%;Poor
Opal Students ;Jan-25;720;5685,3;12,7%;Poor
Opal Students ;Feb-25;3776;4780,8;79,0%;Moderate
Opal Students ;Mar-25;4415;4935,6;89,5%;Moderate
Opal Students ;Apr-25;3551;4359,6;81,5%;Moderate
Opal Students ;May-25;4580;4194;109,2%;Expected
Opal Students ;Jun-25;3965,8;3818,7;103,9%;Expected
Opal Students ;Jul-25;4015;4217,4;95,2%;Expected
Opal Students ;Aug-25;4593;4844,7;94,8%;Expected
Opal Students ;Sept-25;4428;5300,1;83,5%;Moderate
Opal Students ;Oct-25;6002;5667,3;105,9%;Expected
Opal Students ;Nov-25;4286;5624,1;76,2%;Moderate
Opal Students ;Dec-25;985;5995,8;16,4%;Poor
Opal Students ;Jan-26;1496,8;5685,3;26,3%;Poor
Opal Students ;Feb-26;4735;4780,8;99,0%;Expected
Opal Students ;Mar-26;4747;4935,6;96,2%;Expected
Opal Students ;Apr-26;4037;4359,6;92,6%;Expected
Opal Students ;May-26;4180;4194;99,7%;Expected
Opal Students ;Jun-26;3164;3818,7;82,9%;Moderate
Opal Students ;Jul-26;;4217,4;;
Opal Students ;Aug-26;;4844,7;;
Opal Students ;Sept-26;;5300,1;;
Opal Students ;Oct-26;;5667,3;;
Opal Students ;Nov-26;;5624,1;;
Opal Students ;Dec-26;;5995,8;;
Orthochem Bethlehem;Jan-24;27336;41208,48;66,3%;Poor
Orthochem Bethlehem;Feb-24;34673;35976,15;96,4%;Expected
Orthochem Bethlehem;Mar-24;35335;36559,98;96,6%;Expected
Orthochem Bethlehem;Apr-24;23354;33604,11;69,5%;Poor
Orthochem Bethlehem;May-24;24682;32958,63;74,9%;Moderate
Orthochem Bethlehem;Jun-24;21004;30018,22119;70,0%;Poor
Orthochem Bethlehem;Jul-24;24855;32459,80959;76,6%;Moderate
Orthochem Bethlehem;Aug-24;27804;36506,12571;76,2%;Moderate
Orthochem Bethlehem;Sept-24;24854;37370,86983;66,5%;Poor
Orthochem Bethlehem;Oct-24;41343;40182,98625;102,9%;Expected
Orthochem Bethlehem;Nov-24;40614;40330,53612;100,7%;Expected
Orthochem Bethlehem;Dec-24;20454;42601,42782;48,0%;Poor
Orthochem Bethlehem;Jan-25;35500;41208,48;86,1%;Moderate
Orthochem Bethlehem;Feb-25;33170;35976,15;92,2%;Expected
Orthochem Bethlehem;Mar-25;29562;36559,98;80,9%;Moderate
Orthochem Bethlehem;Apr-25;23660;33604,11;70,4%;Moderate
Orthochem Bethlehem;May-25;27021;32958,63;82,0%;Moderate
Orthochem Bethlehem;Jun-25;23016,87;30018,22119;76,7%;Moderate
Orthochem Bethlehem;Jul-25;23980;32459,80959;73,9%;Moderate
Orthochem Bethlehem;Aug-25;26825;36506,12571;73,5%;Moderate
Orthochem Bethlehem;Sept-25;29989;37370,86983;80,2%;Moderate
Orthochem Bethlehem;Oct-25;39431,18;40182,98625;98,1%;Expected
Orthochem Bethlehem;Nov-25;36933;40330,53612;91,6%;Expected
Orthochem Bethlehem;Dec-25;24542;42601,42782;57,6%;Poor
Orthochem Bethlehem;Jan-26;38558,8383;41208,48;93,6%;Expected
Orthochem Bethlehem;Feb-26;35289,59486;35976,15;98,1%;Expected
Orthochem Bethlehem;Mar-26;33082;36559,98;90,5%;Expected
Orthochem Bethlehem;Apr-26;26958,67;33604,11;80,2%;Moderate
Orthochem Bethlehem;May-26;28264,56;32958,63;85,8%;Moderate
Orthochem Bethlehem;Jun-26;;30018,22119;;
Orthochem Bethlehem;Jul-26;;32459,80959;;
Orthochem Bethlehem;Aug-26;;36506,12571;;
Orthochem Bethlehem;Sept-26;;37370,86983;;
Orthochem Bethlehem;Oct-26;;40182,98625;;
Orthochem Bethlehem;Nov-26;;40330,53612;;
Orthochem Bethlehem;Dec-26;;42601,42782;;
PNB Unlimited;Jan-24;12283;11540,96;106,4%;Expected
PNB Unlimited;Feb-24;11752;9862,32;119,2%;Expected
PNB Unlimited;Mar-24;11293;10345,44;109,2%;Expected
PNB Unlimited;Apr-24;10034;8819,52;113,8%;Expected
PNB Unlimited;May-24;7886;8538,08;92,4%;Expected
PNB Unlimited;Jun-24;9067;7700;117,8%;Expected
PNB Unlimited;Jul-24;8952;8487,2;105,5%;Expected
PNB Unlimited;Aug-24;8952;9810,48;91,2%;Expected
PNB Unlimited;Sept-24;8110;10706,48;75,7%;Moderate
PNB Unlimited;Oct-24;12770;11410,4;111,9%;Expected
PNB Unlimited;Nov-24;10951;11340,4;96,6%;Expected
PNB Unlimited;Dec-24;11135;12102,56;92,0%;Expected
PNB Unlimited;Jan-25;10294;11540,96;89,2%;Moderate
PNB Unlimited;Feb-25;7952;9862,32;80,6%;Moderate
PNB Unlimited;Mar-25;9856;10345,44;95,3%;Expected
PNB Unlimited;Apr-25;7739;8819,52;87,7%;Moderate
PNB Unlimited;May-25;9189;8538,08;107,6%;Expected
PNB Unlimited;Jun-25;7656,32;7700;99,4%;Expected
PNB Unlimited;Jul-25;8158;8487,2;96,1%;Expected
PNB Unlimited;Aug-25;5429;9810,48;55,3%;Poor
PNB Unlimited;Sept-25;7249;10706,48;67,7%;Poor
PNB Unlimited;Oct-25;8107;11410,4;71,0%;Moderate
PNB Unlimited;Nov-25;2305;11340,4;20,3%;Poor
PNB Unlimited;Dec-25;7641;12102,56;63,1%;Poor
PNB Unlimited;Jan-26;9717;11540,96;84,2%;Moderate
PNB Unlimited;Feb-26;8045;9862,32;81,6%;Moderate
PNB Unlimited;Mar-26;7035;10345,44;68,0%;Poor
PNB Unlimited;Apr-26;3742,54;8819,52;42,4%;Poor
PNB Unlimited;May-26;6041,14;8538,08;70,8%;Moderate
PNB Unlimited;Jun-26;;7700;;
PNB Unlimited;Jul-26;;8487,2;;
PNB Unlimited;Aug-26;;9810,48;;
PNB Unlimited;Sept-26;;10706,48;;
PNB Unlimited;Oct-26;;11410,4;;
PNB Unlimited;Nov-26;;11340,4;;
PNB Unlimited;Dec-26;;12102,56;;
Plastiplate ;Jan-24;4452;8591,025;51,8%;Poor
Plastiplate ;Feb-24;6906;7466,475;92,5%;Expected
Plastiplate ;Mar-24;6752;7931,85;85,1%;Moderate
Plastiplate ;Apr-24;6350;6987,15;90,9%;Expected
Plastiplate ;May-24;7236;6858,525;105,5%;Expected
Plastiplate ;Jun-24;6002;6375,45;94,1%;Expected
Plastiplate ;Jul-24;7142;6946,725;102,8%;Expected
Plastiplate ;Aug-24;6654;7852,65;84,7%;Moderate
Plastiplate ;Sept-24;6375;8347,05;76,4%;Moderate
Plastiplate ;Oct-24;6305;8786,625;71,8%;Moderate
Plastiplate ;Nov-24;7074;8551,8;82,7%;Moderate
Plastiplate ;Dec-24;3371;9109,05;37,0%;Poor
Plastiplate ;Jan-25;5083;8591,025;59,2%;Poor
Plastiplate ;Feb-25;4977;7466,475;66,7%;Poor
Plastiplate ;Mar-25;5306;7931,85;66,9%;Poor
Plastiplate ;Apr-25;4700;6987,15;67,3%;Poor
Plastiplate ;May-25;6568;6858,525;95,8%;Expected
Plastiplate ;Jun-25;6255,59;6375,45;98,1%;Expected
Plastiplate ;Jul-25;5980;6946,725;86,1%;Moderate
Plastiplate ;Aug-25;6685;7852,65;85,1%;Moderate
Plastiplate ;Sept-25;7118;8347,05;85,3%;Moderate
Plastiplate ;Oct-25;7677;8786,625;87,4%;Moderate
Plastiplate ;Nov-25;5691;8551,8;66,5%;Poor
Plastiplate ;Dec-25;3680;9109,05;40,4%;Poor
Plastiplate ;Jan-26;5605;8591,025;65,2%;Poor
Plastiplate ;Feb-26;7388;7466,475;98,9%;Expected
Plastiplate ;Mar-26;6319,4;7931,85;79,7%;Moderate
Plastiplate ;Apr-26;4370;6987,15;62,6%;Poor
Plastiplate ;May-26;5968;6858,525;87,0%;Moderate
Plastiplate ;Jun-26;5956;6375,45;93,4%;Expected
Plastiplate ;Jul-26;;6946,725;;
Plastiplate ;Aug-26;;7852,65;;
Plastiplate ;Sept-26;;8347,05;;
Plastiplate ;Oct-26;;8786,625;;
Plastiplate ;Nov-26;;8551,8;;
Plastiplate ;Dec-26;;9109,05;;
Q-lity Meat;Jan-24;4700;4894,29;96,0%;Expected
Q-lity Meat;Feb-24;4300;4527,45;95,0%;Expected
Q-lity Meat;Mar-24;5200;4754,25;109,4%;Expected
Q-lity Meat;Apr-24;4500;4171,59;107,9%;Expected
Q-lity Meat;May-24;4300;4117,5;104,4%;Expected
Q-lity Meat;Jun-24;3800;3729,06;101,9%;Expected
Q-lity Meat;Jul-24;4100;4105,53;99,9%;Expected
Q-lity Meat;Aug-24;4000;4624,83;86,5%;Moderate
Q-lity Meat;Sept-24;3700;4797;77,1%;Moderate
Q-lity Meat;Oct-24;5479;5068,98;108,1%;Expected
Q-lity Meat;Nov-24;5500;4862,88;113,1%;Expected
Q-lity Meat;Dec-24;2742;5082,39;54,0%;Poor
Q-lity Meat;Jan-25;5100;4894,29;104,2%;Expected
Q-lity Meat;Feb-25;3970;4527,45;87,7%;Moderate
Q-lity Meat;Mar-25;4540;4754,25;95,5%;Expected
Q-lity Meat;Apr-25;3526;4171,59;84,5%;Moderate
Q-lity Meat;May-25;4309;4117,5;104,7%;Expected
Q-lity Meat;Jun-25;3564;3729,06;95,6%;Expected
Q-lity Meat;Jul-25;3444;4105,53;83,9%;Moderate
Q-lity Meat;Aug-25;4434;4624,83;95,9%;Expected
Q-lity Meat;Sept-25;4300;4797;89,6%;Moderate
Q-lity Meat;Oct-25;4956;5068,98;97,8%;Expected
Q-lity Meat;Nov-25;4173;4862,88;85,8%;Moderate
Q-lity Meat;Dec-25;5010;5082,39;98,6%;Expected
Q-lity Meat;Jan-26;4573;4894,29;93,4%;Expected
Q-lity Meat;Feb-26;4586,77;4527,45;101,3%;Expected
Q-lity Meat;Mar-26;4089;4754,25;86,0%;Moderate
Q-lity Meat;Apr-26;844,2;4171,59;20,2%;Poor
Q-lity Meat;May-26;0;4117,5;0,0%;Poor
Q-lity Meat;Jun-26;;3729,06;;
Q-lity Meat;Jul-26;;4105,53;;
Q-lity Meat;Aug-26;;4624,83;;
Q-lity Meat;Sept-26;;4797;;
Q-lity Meat;Oct-26;;5068,98;;
Q-lity Meat;Nov-26;;4862,88;;
Q-lity Meat;Dec-26;;5082,39;;
Quintondale;Jan-24;6159;5902,47;104,3%;Expected
Quintondale;Feb-24;4495;5299,2;84,8%;Moderate
Quintondale;Mar-24;5040;5701,86;88,4%;Moderate
Quintondale;Apr-24;4485;5085,9;88,2%;Moderate
Quintondale;May-24;4861;5204,61;93,4%;Expected
Quintondale;Jun-24;3929;4824,36;81,4%;Moderate
Quintondale;Jul-24;4619;5303,16;87,1%;Moderate
Quintondale;Aug-24;5354;5833,08;91,8%;Expected
Quintondale;Sept-24;4908;6021,81;81,5%;Moderate
Quintondale;Oct-24;6335;6128,91;103,4%;Expected
Quintondale;Nov-24;5824;5928,57;98,2%;Expected
Quintondale;Dec-24;6091;6186,69;98,5%;Expected
Quintondale;Jan-25;5309;5902,47;89,9%;Moderate
Quintondale;Feb-25;3761;5299,2;71,0%;Moderate
Quintondale;Mar-25;4074;5701,86;71,5%;Moderate
Quintondale;Apr-25;3902;5085,9;76,7%;Moderate
Quintondale;May-25;5047;5204,61;97,0%;Expected
Quintondale;Jun-25;4585,36;4824,36;95,0%;Expected
Quintondale;Jul-25;4750;5303,16;89,6%;Moderate
Quintondale;Aug-25;4940;5833,08;84,7%;Moderate
Quintondale;Sept-25;4923;6021,81;81,8%;Moderate
Quintondale;Oct-25;5673;6128,91;92,6%;Expected
Quintondale;Nov-25;4641;5928,57;78,3%;Moderate
Quintondale;Dec-25;5262;6186,69;85,1%;Moderate
Quintondale;Jan-26;5546;5902,47;94,0%;Expected
Quintondale;Feb-26;5201,23;5299,2;98,2%;Expected
Quintondale;Mar-26;4579;5701,86;80,3%;Moderate
Quintondale;Apr-26;4134,11;5085,9;81,3%;Moderate
Quintondale;May-26;4665,67;5204,61;89,6%;Moderate
Quintondale;Jun-26;;4824,36;;
Quintondale;Jul-26;;5303,16;;
Quintondale;Aug-26;;5833,08;;
Quintondale;Sept-26;;6021,81;;
Quintondale;Oct-26;;6128,91;;
Quintondale;Nov-26;;5928,57;;
Quintondale;Dec-26;;6186,69;;
Riverside Lodge ;Jan-24;6600;17099,45;38,6%;Poor
Riverside Lodge ;Feb-24;13300;15031,4;88,5%;Moderate
Riverside Lodge ;Mar-24;15420;16289,4;94,7%;Expected
Riverside Lodge ;Apr-24;12860;14250,25;90,2%;Expected
Riverside Lodge ;May-24;14610;14783,2;98,8%;Expected
Riverside Lodge ;Jun-24;12010;13871,15;86,6%;Moderate
Riverside Lodge ;Jul-24;13050;15110,45;86,4%;Moderate
Riverside Lodge ;Aug-24;17380;16763,7;103,7%;Expected
Riverside Lodge ;Sept-24;15040;16935,4;88,8%;Moderate
Riverside Lodge ;Oct-24;16040;17583,95;91,2%;Expected
Riverside Lodge ;Nov-24;12800;16597,1;77,1%;Moderate
Riverside Lodge ;Dec-24;11928;17731;67,3%;Poor
Riverside Lodge ;Jan-25;11300;17099,45;66,1%;Poor
Riverside Lodge ;Feb-25;8382;15031,4;55,8%;Poor
Riverside Lodge ;Mar-25;11945;16289,4;73,3%;Moderate
Riverside Lodge ;Apr-25;13271;14250,25;93,1%;Expected
Riverside Lodge ;May-25;17380;14783,2;117,6%;Expected
Riverside Lodge ;Jun-25;15760,44;13871,15;113,6%;Expected
