Site Name ;PV Capacity (W);PV Inverter Size (kW);Battery Size (Wh);Battery Name ;Battery Inverter/Hybrid Size;Generator  Size;Genset/Grid set point kit;Country ;Province;Location ;Meter;Contract Type;Business Type;Operational Satus;Sales Type ;Investment Party;Project Number;Commisioned Date;Installer Name ;Platform;Offtake Guarantee;Age;Soiling Intensity;Shading
Meredale Heights ;33000;33;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;40 thomas street;null;PPA;Residential;Producing;;Anuva;P00052;06/02/2023;SA Energy ;iSolarCloud;YES;3,5;Low;Low
Monument Park Checkers;281000;250;0;N/A;N/A;N/A;NuVo;South Africa;Gauteng;242 Voortrekker Rd, Monument, Krugersdorp, 1739, South Africa;null;PPA;Retail;Producing;;Anuva;P00037;null;SA Energy ;isloarcloud &Nuvo;NO;;Low;Low
Nkambeni Industrial;158400;125;0;Solar MD;Atess PCS500;N/A;null;South Africa;Mpumalanga;139 Numbi Rd Numbi Gate Kruger National Park, Hazyview, 1350;null;RTO;Residential;Reduced Demand;;SSI;P00040;null;SA Energy ;null;NO;;Low;Low
Opal Students ;35000;33;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;Opal students;null;RTO;Retail;Producing;;Anuva;P00057;05/09/2023;SA Energy ;iSolarCloud;YES;3,0;Low;Low
Orthochem Bethlehem;220000;null;0;N/A;N/A;N/A;null;South Africa;Free state;6 Sauer Street Bethlehem Free State 9700;null;PPA;Manufacture;Producing;;SSI;P00063;null;SA Energy ;isolarcloud, & NuVO ;NO;;Low;Low
Plastiplate ;66000;66;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;6 adderley, Roodepoort, 1724, South Africa;null;PPA;Manufacture;Producing;;Anuva;P00061;07/05/2022;SA Energy ;iSolarCloud;YES;4,3;Low;Low
PNB Unlimited;95000;null;0;N/A;N/A;N/A;null;South Africa;North West;8X4H+VXW Amaoti;null;PPA;Commercial;Producing;;SSI;null;null;SA Energy ;null;NO;;Low;Low
Q-lity Meat;35000;30;0;N/A;N/A;N/A;NuVo;South Africa;Gauteng;null;null;PPA;Retail;Producing;;SSI;P00007;null;SA Energy ;isloarcloud &Nuvo;NO;;Low;Low
Quintondale;40000;33;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;43 Orchards Street, Johannesburg, Johannesburg, Gauteng 2192, South Africa;null;PPA;Residential;Reduced Demand;;SSI;P00065;null;SA Energy ;null;NO;;Low;Low
Riverside Lodge ;110000;100;0;N/A;N/A;N/A;N/A;South Africa;North West;Hartbeespoort, South Africa;null;PPA;Residential;Producing;;Anuva;P00053;05/12/2023;SA Energy ;iSolarCloud;YES;2,7;Low;Low
Sakhumnotho;38000;30;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;R3W5+96X Johannesburg;null;PPA;Commercial;Decommissioned;;SSI;P00043;null;SA Energy ;null;NO;;Low;Low
SaveMore Alldays - Store;180000;100;0;N/A;N/A;N/A;N/A;South Africa;Limpopo;R572, Alldays, 0909;null;PPA;Retail;Reduced Demand;;SSI;P00050;null;SA Energy ;soliscloud;NO;;Low;Low
Savemore Liquor Alldays ;27300;30;0;N/A;N/A;N/A;N/A;South Africa;Limpopo;84C3+PG2 Alldays;null;PPA;Retail;Reduced Demand;;SSI;null;null;SA Energy ;soliscloud;NO;;Low;Low
Saverite Durban;95000;null;0;N/A;N/A;N/A;null;South Africa;KZN;null;null;PPA;Retail;Producing;;Anuva;null;null;SA Energy ;null;NO;;Low;Low
Saverite PMB;96000;null;0;N/A;N/A;N/A;null;South Africa;KZN;457 Langalibalele St, Pietermaritzburg, 3200;null;PPA;Retail;Producing;;SSI;null;null;SA Energy ;null;NO;;Low;Low
Secunda Plaza Choppies;121000;110;0;N/A;N/A;N/A;N/A;South Africa;Mpumalanga;8337 Pichlerplien, Secunda, 2302, South Africa;null;PPA;Retail;Reduced Demand;;SSI;P00076;;SA Energy ;iSolarCloud;NO;;Low;Low
Secunda Plaza Shops;35000;33;0;N/A;N/A;N/A;N/A;South Africa;Mpumalanga;8309 Louwrens Muller St, Secunda, 2302, South Africa;null;PPA;Retail;Reduced Demand;;SSI;P00075;;SA Energy ;iSolarCloud;NO;;Low;Low
Shoprite Dube ;153000;125;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;Shoprite Maponya Center, 1980 Mahalefele Rd, Dube, Soweto, 1801;Eastron Meter;PPA;Retail;Producing;;12B Fund;null;;SA Energy ;isolarCloud;NO;;Low;Low
Shoprite Hillbrow;126000;null;0;N/A;N/A;500kVa ;NuVo;South Africa;Gauteng;null;Eastron Meter;PPA;Retail;Producing;;12B Fund;null;null;SA Energy ;null;NO;;Low;High
Shoprite Ladybrand ;250000;110;0;N/A;N/A;N/A;N/A;South Africa;Free state;248 Voortrekkers Ave, CBD, Ladybrand, 9745, South Africa;Eastron Meter;PPA;Retail;Producing;;12B Fund;null;;SA Energy ;null;NO;;Low;Low
Shoprite Mini Ganyesa;240000;110;0;N/A;N/A;N/A;NuVo;South Africa;North West;Hartbeespoort, South Africa;Eastron Meter;PPA;Retail;Producing;;12B Fund;P00078;;SA Energy ;isloarcloud &Nuvo;NO;;Low;Low
Shoprite Naledi;125000;125;0;N/A;N/A;500;NuVo;South Africa;Gauteng;PRVC+MPW Soweto;Eastron Meter;PPA;Retail;Producing;;12B Fund;null;null;SA Energy ;Sunsynk;NO;;Low;Low
Spring Glade;116000;110;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;VR7R+269 Roodepoort;Alester Meter;PPA;Residential;Reduced Demand;;SSI;null;null;SA Energy ;SolisCloud;NO;;Low;Low
Thakadu Industrial;61600;null;289000;N/A;N/A;N/A;null;South Africa;North West;D53 Thakadu Gate, Madikwe Game Reserve Molatedi, 2838;null;PPA;Residential;Reduced Demand;;SSI;null;null;SA Energy ;null;NO;;Low;Low
The Alec;55000;50;0;N/A;N/A;N/A;NuVo;South Africa;Gauteng;48 Goldreich St, Hillbrow, Johannesburg, 2198, South Africa;null;PPA;Residential;Reduced Demand;;Anuva;null;20/07/2023;SA Energy ;isolarCloud;YES;3,1;Low;Low
Three Peaks;40000;33;0;N/A;N/A;N/A;N/A;South Africa;KZN;22A Underwood Rd, Hatton Estate, Pinetown, 3610;;PPA;Residential;Reduced Demand;;Anuva;P00064;;SA Energy ;iSolarCloud;NO;;Low;Low
TPF Foods ;34000;30;0;N/A;N/A;N/A;null;South Africa;Limpopo;Q2R4+98G Johannesburg;Alester Meter;PPA;Retail;Reduced Demand;;SSI;null;null;SA Energy ;null;NO;;Low;Low
Trouw Nutrition;103000;null;0;N/A;N/A;N/A;null;South Africa;Gauteng;null;Alester Meter;PPA;Manufacture;Producing;;SSI;null;null;SA Energy ;null;NO;;Low;Low
Watt Place Rotoflo;230000;220;0;N/A;N/A;N/A;NuVo;South Africa;Gauteng;10 Watt Pl, Kya Sand, Randburg, 2163, South Africa;null;PPA;Manufacture;Producing;;Anuva;P00048;06/09/2023;SA Energy ;isolarCloud & Nuvo;YES;3,0;Low;Low
Zwartop Golf Course;27000;33;null;N/A;N/A;N/A;null;South Africa;Gauteng;ZwartKop Golf and Country club, 108 Golf Avenue Club view Centurion 0157;null;RTO;Residential;Reduced Demand;;Anuva;null;null;SA Energy ;null;NO;;Low;Low
Shoprite Thokoza;115000;125;0;N/A;N/A;N/A;N/A;South Africa;Gauteng;9102 Khumalo St, Thokoza, 1426;Eastron Meter;PPA;Retail;Producing;;12B Fund;null;05/04/2025;SA Energy ;IsolarCloud;NO;1,4;Medium;Low
U Save Botrivier ;33000;30;0;N/A;N/A;N/A;N/A;South Africa;Western Cape;3 8th Ave, Bot River, 7185, South Africa;Eastron Meter;PPA;Retail;Reduced Demand;;SSI;null;;SA Energy ;IsolarCloud;NO;;Low;Low
